nohup: 忽略输入
Sat, 28 Jul 2018 10:19:43 +0800 | INFO   | server     |  | Serving using application   : /usr/bin/php checkPortStatus.php
Sat, 28 Jul 2018 10:19:43 +0800 | INFO   | server     |  | Starting WebSocket server   : ws://ThinkPad:8080/
Sat, 28 Jul 2018 10:19:51 +0800 | ACCESS | session    | url:'http://thinkpad:8080/' id:'1532744391418174282' remote:'127.0.0.1' command:'/usr/bin/php' origin:'http://localhost' | CONNECT
Sat, 28 Jul 2018 10:24:05 +0800 | ACCESS | session    | url:'http://thinkpad:8080/' id:'1532744391418174282' remote:'127.0.0.1' command:'/usr/bin/php' origin:'http://localhost' pid:'9305' | DISCONNECT
Sat, 28 Jul 2018 10:24:08 +0800 | ACCESS | session    | url:'http://thinkpad:8080/' id:'1532744648834775078' remote:'127.0.0.1' command:'/usr/bin/php' origin:'http://localhost' | CONNECT
Sat, 28 Jul 2018 10:24:25 +0800 | ACCESS | session    | url:'http://thinkpad:8080/' id:'1532744648834775078' remote:'127.0.0.1' command:'/usr/bin/php' origin:'http://localhost' pid:'9982' | DISCONNECT
Sat, 28 Jul 2018 10:24:31 +0800 | ACCESS | session    | url:'http://thinkpad:8080/' id:'1532744671859831894' remote:'127.0.0.1' command:'/usr/bin/php' origin:'http://localhost' | CONNECT
Sat, 28 Jul 2018 10:24:32 +0800 | ACCESS | session    | url:'http://thinkpad:8080/' id:'1532744671859831894' remote:'127.0.0.1' command:'/usr/bin/php' origin:'http://localhost' pid:'9985' | DISCONNECT
Sat, 28 Jul 2018 10:24:37 +0800 | ACCESS | session    | url:'http://thinkpad:8080/' id:'1532744677274798358' remote:'127.0.0.1' command:'/usr/bin/php' origin:'http://localhost' | CONNECT
Sat, 28 Jul 2018 10:24:39 +0800 | ACCESS | session    | url:'http://thinkpad:8080/' id:'1532744677274798358' remote:'127.0.0.1' command:'/usr/bin/php' origin:'http://localhost' pid:'9986' | DISCONNECT
Sat, 28 Jul 2018 10:24:43 +0800 | ACCESS | session    | url:'http://thinkpad:8080/' id:'1532744683509229365' remote:'127.0.0.1' command:'/usr/bin/php' origin:'http://localhost' | CONNECT
Sat, 28 Jul 2018 10:25:11 +0800 | ACCESS | session    | url:'http://thinkpad:8080/' id:'1532744683509229365' remote:'127.0.0.1' command:'/usr/bin/php' origin:'http://localhost' pid:'9987' | DISCONNECT
Sat, 28 Jul 2018 10:28:02 +0800 | ACCESS | session    | url:'http://thinkpad:8080/' id:'1532744882820728481' remote:'127.0.0.1' command:'/usr/bin/php' origin:'http://localhost' | CONNECT
Sat, 28 Jul 2018 10:28:06 +0800 | ACCESS | session    | url:'http://thinkpad:8080/' id:'1532744882820728481' remote:'127.0.0.1' command:'/usr/bin/php' origin:'http://localhost' pid:'10176' | DISCONNECT
Sat, 28 Jul 2018 10:28:12 +0800 | ACCESS | session    | url:'http://thinkpad:8080/' id:'1532744892881379509' remote:'127.0.0.1' command:'/usr/bin/php' origin:'http://localhost' | CONNECT
Sat, 28 Jul 2018 10:28:50 +0800 | ACCESS | session    | url:'http://thinkpad:8080/' id:'1532744892881379509' remote:'127.0.0.1' command:'/usr/bin/php' origin:'http://localhost' pid:'10177' | DISCONNECT
Sat, 28 Jul 2018 10:28:52 +0800 | ACCESS | session    | url:'http://thinkpad:8080/' id:'1532744932622278017' remote:'127.0.0.1' command:'/usr/bin/php' origin:'http://localhost' | CONNECT
Sat, 28 Jul 2018 10:29:05 +0800 | ACCESS | session    | url:'http://thinkpad:8080/' id:'1532744932622278017' remote:'127.0.0.1' command:'/usr/bin/php' origin:'http://localhost' pid:'10277' | DISCONNECT
Sat, 28 Jul 2018 10:30:20 +0800 | ACCESS | session    | url:'http://thinkpad:8080/' id:'1532745020655108522' remote:'127.0.0.1' command:'/usr/bin/php' origin:'http://localhost' | CONNECT
Sat, 28 Jul 2018 10:30:37 +0800 | ACCESS | session    | url:'http://thinkpad:8080/' id:'1532745020655108522' remote:'127.0.0.1' command:'/usr/bin/php' origin:'http://localhost' pid:'10344' | DISCONNECT
Sat, 28 Jul 2018 10:30:54 +0800 | ACCESS | session    | url:'http://thinkpad:8080/' id:'1532745054191812344' remote:'127.0.0.1' command:'/usr/bin/php' origin:'http://localhost' | CONNECT
Sat, 28 Jul 2018 10:31:35 +0800 | ACCESS | session    | url:'http://thinkpad:8080/' id:'1532745054191812344' remote:'127.0.0.1' command:'/usr/bin/php' origin:'http://localhost' pid:'10437' | DISCONNECT
Sat, 28 Jul 2018 10:32:39 +0800 | ACCESS | session    | url:'http://thinkpad:8080/' id:'1532745159223859449' remote:'127.0.0.1' command:'/usr/bin/php' origin:'http://localhost' | CONNECT
Sat, 28 Jul 2018 10:33:05 +0800 | ACCESS | session    | url:'http://thinkpad:8080/' id:'1532745159223859449' remote:'127.0.0.1' command:'/usr/bin/php' origin:'http://localhost' pid:'10545' | DISCONNECT
